marker_count	total_combinations	zero_count	min_one_count	min_two_count
30	7260	20	7240	7213
29	7260	20	7240	7213
28	7260	21	7239	7213
27	7260	21	7239	7213
26	7260	21	7239	7213
25	7260	21	7239	7213
24	7260	22	7238	7212
23	7260	22	7238	7209
22	7260	22	7238	7206
21	7260	23	7237	7202
20	7260	23	7237	7198
19	7260	25	7235	7193
18	7260	26	7234	7184
17	7260	29	7231	7174
16	7260	33	7227	7163
15	7260	34	7226	7149
14	7260	37	7223	7120
13	7260	47	7213	7082
12	7260	53	7207	7035
11	7260	62	7198	6976
10	7260	74	7186	6888
9	7260	113	7147	6756
8	7260	154	7106	6556
7	7260	217	7043	6252
6	7260	309	6951	5833
5	7260	492	6768	5243
