F_One_Name	Parent_A	Parent_A_Score	Parent_B	Parent_B_Score	TotalMarkers	Polymorphic	Call_Hetero	Call_ParentA	Call_ParentB	Call_Missing	Percentage_Het	Comment
ICMX 2010769:8	ICMR 1203	na	ICMR 06222	100.0	30	na	2	na	7	20	20.0	failedF1
ICMX 2010769:9	ICMR 1203	na	ICMR 06222	100.0	30	na	2	na	7	20	20.0	failedF1
ICMX 2010769:11	ICMR 1203	na	ICMR 06222	100.0	30	na	2	na	7	20	20.0	failedF1
ICMX 2010769:1	ICMR 1203	na	ICMR 06222	100.0	30	na	2	na	7	20	20.0	failedF1
ICMX 2010769:2	ICMR 1203	na	ICMR 06222	100.0	30	na	2	na	7	20	20.0	failedF1
ICMX 2010769:3	ICMR 1203	na	ICMR 06222	100.0	30	na	2	na	7	20	20.0	failedF1
ICMX 2010769:4	ICMR 1203	na	ICMR 06222	100.0	30	na	0	na	6	20	0.0	failedF1
ICMX 2010769:5	ICMR 1203	na	ICMR 06222	100.0	30	na	2	na	7	20	20.0	failedF1
ICMX 2010769:6	ICMR 1203	na	ICMR 06222	100.0	30	na	2	na	7	20	20.0	failedF1
ICMX 2010769:7	ICMR 1203	na	ICMR 06222	100.0	30	na	2	na	7	20	20.0	failedF1
ICMX 2010770:1	ICMR 1502	na	ICMR 08111	100.0	30	na	4	na	6	20	40.0	failedF1
ICMX 2010770:3	ICMR 1502	na	ICMR 08111	100.0	30	na	4	na	6	20	40.0	failedF1
ICMX 2010770:4	ICMR 1502	na	ICMR 08111	100.0	30	na	4	na	6	20	40.0	failedF1
ICMX 2010770:5	ICMR 1502	na	ICMR 08111	100.0	30	na	4	na	6	20	40.0	failedF1
ICMX 2010770:6	ICMR 1502	na	ICMR 08111	100.0	30	na	4	na	5	20	40.0	failedF1
ICMX 2010771:1	ICMR 1503	na	ICMR 08111	100.0	30	na	4	na	6	20	40.0	failedF1
ICMX 2010771:2	ICMR 1503	na	ICMR 08111	100.0	30	na	4	na	6	20	40.0	failedF1
ICMX 2010771:3	ICMR 1503	na	ICMR 08111	100.0	30	na	4	na	6	20	40.0	failedF1
ICMX 2010771:4	ICMR 1503	na	ICMR 08111	100.0	30	na	4	na	6	20	40.0	failedF1
ICMX 2010771:5	ICMR 1503	na	ICMR 08111	100.0	30	na	4	na	6	20	40.0	failedF1
ICMX 2010771:6	ICMR 1503	na	ICMR 08111	100.0	30	na	4	na	6	20	40.0	failedF1
ICMX 2010771:7	ICMR 1503	na	ICMR 08111	100.0	30	na	4	na	6	20	40.0	failedF1
ICMX 2010771:8	ICMR 1503	na	ICMR 08111	100.0	30	na	4	na	4	22	50.0	failedF1
ICMX 2010771:9	ICMR 1503	na	ICMR 08111	100.0	30	na	4	na	6	20	40.0	failedF1
ICMX 2010771:10	ICMR 1503	na	ICMR 08111	100.0	30	na	4	na	6	20	40.0	failedF1
ICMX 2010772:3	ICMR 1701	na	ICMR 08111	100.0	30	na	4	na	5	20	40.0	failedF1
ICMX 2010772:4	ICMR 1701	na	ICMR 08111	100.0	30	na	4	na	5	20	40.0	failedF1
ICMX 2010772:5	ICMR 1701	na	ICMR 08111	100.0	30	na	4	na	5	21	44.44	failedF1
ICMX 2010772:6	ICMR 1701	na	ICMR 08111	100.0	30	na	4	na	5	20	40.0	failedF1
ICMX 2010772:7	ICMR 1701	na	ICMR 08111	100.0	30	na	4	na	5	20	40.0	failedF1
ICMX 2010772:8	ICMR 1701	na	ICMR 08111	100.0	30	na	4	na	5	20	40.0	failedF1
ICMX 2010772:1	ICMR 1701	na	ICMR 08111	100.0	30	na	4	na	4	21	44.44	failedF1
ICMX 2010772:2	ICMR 1701	na	ICMR 08111	100.0	30	na	4	na	5	20	40.0	failedF1
ICMX 2010773:4	ICMR 1803	na	ICMR 10888	100.0	30	na	3	na	7	20	30.0	failedF1
ICMX 2010773:1	ICMR 1803	na	ICMR 10888	100.0	30	na	3	na	7	20	30.0	failedF1
ICMX 2010773:2	ICMR 1803	na	ICMR 10888	100.0	30	na	0	na	6	20	0.0	failedF1
ICMX 2010773:3	ICMR 1803	na	ICMR 10888	100.0	30	na	3	na	7	20	30.0	failedF1
ICMX 2010774:1	ICMR 1805	na	ICMR 06222	100.0	30	na	1	na	9	20	10.0	failedF1
ICMX 2010774:2	ICMR 1805	na	ICMR 06222	100.0	30	na	1	na	7	22	12.5	failedF1
ICMX 2010774:3	ICMR 1805	na	ICMR 06222	100.0	30	na	1	na	9	20	10.0	failedF1
ICMX 2010776:8	ICMR 1701	na	IP 21187	95.84	30	na	4	na	4	21	44.44	failedF1
ICMX 2010776:9	ICMR 1701	na	IP 21187	95.84	30	na	4	na	5	20	40.0	failedF1
ICMX 2010776:10	ICMR 1701	na	IP 21187	95.84	30	na	4	na	5	20	40.0	failedF1
ICMX 2010776:11	ICMR 1701	na	IP 21187	95.84	30	na	4	na	5	20	40.0	failedF1
ICMX 2010776:12	ICMR 1701	na	IP 21187	95.84	30	na	4	na	5	20	40.0	failedF1
ICMX 2010776:1	ICMR 1701	na	IP 21187	95.84	30	na	4	na	5	20	40.0	failedF1
ICMX 2010776:13	ICMR 1701	na	IP 21187	95.84	30	na	3	na	5	22	37.5	failedF1
ICMX 2010776:2	ICMR 1701	na	IP 21187	95.84	30	na	4	na	5	20	40.0	failedF1
ICMX 2010776:14	ICMR 1701	na	IP 21187	95.84	30	na	4	na	5	20	40.0	failedF1
ICMX 2010776:15	ICMR 1701	na	IP 21187	95.84	30	na	0	na	4	20	0.0	failedF1
ICMX 2010776:4	ICMR 1701	na	IP 21187	95.84	30	na	4	na	5	20	40.0	failedF1
ICMX 2010776:5	ICMR 1701	na	IP 21187	95.84	30	na	4	na	5	20	40.0	failedF1
ICMX 2010776:6	ICMR 1701	na	IP 21187	95.84	30	na	4	na	5	20	40.0	failedF1
ICMX 2010776:7	ICMR 1701	na	IP 21187	95.84	30	na	4	na	5	20	40.0	failedF1
ICMX 2010777:5	ICMR 100487	100.0	ICMR 101415	100.0	30	14	2	0	0	12	14.29	failedF1
ICMX 2010777:6	ICMR 100487	100.0	ICMR 101415	100.0	30	14	2	0	0	12	14.29	failedF1
ICMX 2010777:7	ICMR 100487	100.0	ICMR 101415	100.0	30	14	2	0	0	12	14.29	failedF1
ICMX 2010777:8	ICMR 100487	100.0	ICMR 101415	100.0	30	14	2	0	0	12	14.29	failedF1
ICMX 2010777:9	ICMR 100487	100.0	ICMR 101415	100.0	30	14	2	0	0	12	14.29	failedF1
