SAMPLE_UID	DESIGNATION	SAMPLE_NAME	PARENT_A	PARENT_B
8TNISvhYElqza	ICMX 2010769	ICMX 2010769:8	ICMR 1203	ICMR 06222
8TNISOmlCvKLk	ICMX 2010769	ICMX 2010769:9	ICMR 1203	ICMR 06222
8TNISp6c0HtwF	ICMX 2010769	ICMX 2010769:11	ICMR 1203	ICMR 06222
8TNIS0sODEEnn	ICMX 2010769	ICMX 2010769:1	ICMR 1203	ICMR 06222
8TNIS86PR45Ar	ICMX 2010769	ICMX 2010769:2	ICMR 1203	ICMR 06222
8TNISaFeeKt2N	ICMX 2010769	ICMX 2010769:3	ICMR 1203	ICMR 06222
8TNISiYDMKCYa	ICMX 2010769	ICMX 2010769:4	ICMR 1203	ICMR 06222
8TNIS8CgtMWUP	ICMX 2010769	ICMX 2010769:5	ICMR 1203	ICMR 06222
8TNISGxSKoU4L	ICMX 2010769	ICMX 2010769:6	ICMR 1203	ICMR 06222
8TNISBWcYquue	ICMX 2010769	ICMX 2010769:7	ICMR 1203	ICMR 06222
8TNISY6Jno4XM	ICMX 2010770	ICMX 2010770:1	ICMR 1502	ICMR 08111
8TNISIXOFg5yE	ICMX 2010770	ICMX 2010770:3	ICMR 1502	ICMR 08111
8TNIStyOki0ym	ICMX 2010770	ICMX 2010770:4	ICMR 1502	ICMR 08111
8TNISemI9ohar	ICMX 2010770	ICMX 2010770:5	ICMR 1502	ICMR 08111
8TNISy2PV4mld	ICMX 2010770	ICMX 2010770:6	ICMR 1502	ICMR 08111
8TNISBIQitfio	ICMX 2010771	ICMX 2010771:1	ICMR 1503	ICMR 08111
8TNIS24mUji79	ICMX 2010771	ICMX 2010771:2	ICMR 1503	ICMR 08111
8TNIS4i2tKjEy	ICMX 2010771	ICMX 2010771:3	ICMR 1503	ICMR 08111
8TNISKladJFmf	ICMX 2010771	ICMX 2010771:4	ICMR 1503	ICMR 08111
8TNISb7jQ9DrW	ICMX 2010771	ICMX 2010771:5	ICMR 1503	ICMR 08111
8TNISmigrMGiC	ICMX 2010771	ICMX 2010771:6	ICMR 1503	ICMR 08111
8TNISsaf0YY0S	ICMX 2010771	ICMX 2010771:7	ICMR 1503	ICMR 08111
8TNISLS8AfyB6	ICMX 2010771	ICMX 2010771:8	ICMR 1503	ICMR 08111
8TNISmG2EposY	ICMX 2010771	ICMX 2010771:9	ICMR 1503	ICMR 08111
8TNISjI0usqpk	ICMX 2010771	ICMX 2010771:10	ICMR 1503	ICMR 08111
8TNISlDjONmft	ICMX 2010772	ICMX 2010772:3	ICMR 1701	ICMR 08111
8TNISNdn9r2pM	ICMX 2010772	ICMX 2010772:4	ICMR 1701	ICMR 08111
8TNISE86505Jm	ICMX 2010772	ICMX 2010772:5	ICMR 1701	ICMR 08111
8TNISMtgRuv9z	ICMX 2010772	ICMX 2010772:6	ICMR 1701	ICMR 08111
8TNISCBiQsuik	ICMX 2010772	ICMX 2010772:7	ICMR 1701	ICMR 08111
8TNISe5At0mXT	ICMX 2010772	ICMX 2010772:8	ICMR 1701	ICMR 08111
8TNISyPpW9pi0	ICMX 2010772	ICMX 2010772:1	ICMR 1701	ICMR 08111
8TNIS7FXD0GPp	ICMX 2010772	ICMX 2010772:2	ICMR 1701	ICMR 08111
8TNISWaiJFiYo	ICMX 2010773	ICMX 2010773:4	ICMR 1803	ICMR 10888
8TNISDTIAu7JY	ICMX 2010773	ICMX 2010773:1	ICMR 1803	ICMR 10888
8TNISD51l8Zdc	ICMX 2010773	ICMX 2010773:2	ICMR 1803	ICMR 10888
8TNISlNGHUskG	ICMX 2010773	ICMX 2010773:3	ICMR 1803	ICMR 10888
8TNISy6BO67iN	ICMX 2010774	ICMX 2010774:1	ICMR 1805	ICMR 06222
8TNIS5ZL95qSZ	ICMX 2010774	ICMX 2010774:2	ICMR 1805	ICMR 06222
8TNISa5D4ilN8	ICMX 2010774	ICMX 2010774:3	ICMR 1805	ICMR 06222
8TNIS4DtiA1eD	ICMX 2010776	ICMX 2010776:8	ICMR 1701	IP 21187
8TNISi8FAFGlS	ICMX 2010776	ICMX 2010776:9	ICMR 1701	IP 21187
8TNIS8o27gGGJ	ICMX 2010776	ICMX 2010776:10	ICMR 1701	IP 21187
8TNISp6oY2qdz	ICMX 2010776	ICMX 2010776:11	ICMR 1701	IP 21187
8TNIS4RYCfKAH	ICMX 2010776	ICMX 2010776:12	ICMR 1701	IP 21187
8TNISeo3qnjnz	ICMX 2010776	ICMX 2010776:1	ICMR 1701	IP 21187
8TNISNF6XKQSs	ICMX 2010776	ICMX 2010776:13	ICMR 1701	IP 21187
8TNISqzyKHq65	ICMX 2010776	ICMX 2010776:2	ICMR 1701	IP 21187
8TNISxI49lN4G	ICMX 2010776	ICMX 2010776:14	ICMR 1701	IP 21187
8TNISyWI0AL7B	ICMX 2010776	ICMX 2010776:15	ICMR 1701	IP 21187
8TNISo5GmyHyX	ICMX 2010776	ICMX 2010776:4	ICMR 1701	IP 21187
8TNIST0rIMZW7	ICMX 2010776	ICMX 2010776:5	ICMR 1701	IP 21187
8TNISRXRSgGxX	ICMX 2010776	ICMX 2010776:6	ICMR 1701	IP 21187
8TNISvsSJNbpI	ICMX 2010776	ICMX 2010776:7	ICMR 1701	IP 21187
8TNISObbT8GbM	ICMX 2010777	ICMX 2010777:5	ICMR 100487	ICMR 101415
8TNISWwIuUo1b	ICMX 2010777	ICMX 2010777:6	ICMR 100487	ICMR 101415
8TNISYxOPAr26	ICMX 2010777	ICMX 2010777:7	ICMR 100487	ICMR 101415
8TNISnSZNZAnA	ICMX 2010777	ICMX 2010777:8	ICMR 100487	ICMR 101415
8TNISJ6Pb9OBY	ICMX 2010777	ICMX 2010777:9	ICMR 100487	ICMR 101415
8TNIS6HYgjHrc	ICMX 2010777	ICMX 2010777:10	ICMR 100487	ICMR 101415
8TNISgaZFkUtv	ICMX 2010777	ICMX 2010777:11	ICMR 100487	ICMR 101415
8TNISNBKp7P0C	ICMX 2010777	ICMX 2010777:12	ICMR 100487	ICMR 101415
8TNISRUiIuZez	ICMX 2010777	ICMX 2010777:1	ICMR 100487	ICMR 101415
8TNISnpvYOtz3	ICMX 2010777	ICMX 2010777:2	ICMR 100487	ICMR 101415
8TNISOh6Seh7d	ICMX 2010777	ICMX 2010777:3	ICMR 100487	ICMR 101415
8TNISj7CM4dJf	ICMX 2010777	ICMX 2010777:4	ICMR 100487	ICMR 101415
8TNISce5UCNQ9	ICMX 2010778	ICMX 2010778:4	ICMR 13999	ICMR 101415
8TNISWFjJB62m	ICMX 2010778	ICMX 2010778:5	ICMR 13999	ICMR 101415
8TNISHkd9W98Y	ICMX 2010778	ICMX 2010778:6	ICMR 13999	ICMR 101415
