Name	NoReps	MeanScore
ICMR 100187	8	100.0
ICMR 15666	8	100.0
ICMR 18777	8	100.0
ICMR 100487	8	100.0
ICMR 100294	8	98.21
ICMR 102061	8	82.5
ICMR 101989	8	99.58
ICMR 19777	8	100.0
ICMR 15999	14	43.54
ICMR 100437	8	100.0
ICMR 17222	8	87.5
ICMR 13999	8	100.0
ICMR 101728	8	92.9
ICMR 08222	8	99.58
ICMR 102122	8	99.17
ICMR 09888	8	69.21
ICMR 102124	8	100.0
ICMR 12888	8	97.5
ICMR 102387	8	100.0
ICMR 12111	8	42.91
ICMR 1905	8	99.58
ICMR 100931	8	100.0
ICMR 102180	8	98.32
ICMR 101415	8	100.0
ICMR 1804	8	95.42
ICMR 08111	8	100.0
ICMR 10888	8	100.0
ICMR 06222	8	100.0
ICMR 12222	8	96.67
ICMR 11003	8	90.0
ICMR 102621	8	76.67
ICMR 102622	8	100.0
ICMR 102623	8	100.0
ICMR 102624	8	99.17
ICMB 1502	5	100.0
ICMB 1608	5	100.0
ICMB 101965	5	95.96
ICMB 101853	5	100.0
ICMB 101967	5	100.0
ICMB 10777	5	100.0
ICMB 14222	5	99.31
ICMB 101968	5	61.42
ICMB 16444	5	100.0
ICMB 18111	5	100.0
ICMB 16222	5	100.0
ICMB 101969	5	100.0
ICMB 101970	5	100.0
ICMB 101971	5	100.0
ICMB 101972	5	96.0
ICMB 101973	5	100.0
ICMB 101815	5	100.0
ICMB 100157	5	100.0
ICMB 101994	5	96.0
ICMB 101974	5	44.92
ICMB 101975	5	86.62
ICMB 11222	5	100.0
ICMB 17555	5	96.67
ICMB 18333	5	99.33
ICMB 18444	5	96.67
ICMB 101980	5	100.0
ICMB 10222	5	100.0
ICMB 101981	5	84.44
ICMB 100133	5	97.86
ICMB 07444	5	96.67
ICMB 08999	5	100.0
ICMB 09555	5	60.12
ICMB 101644	5	92.66
ICMB 101982	5	73.63
ICMB 101986	5	96.67
ICMB 101987	5	96.67
ICMB 100103	5	100.0
ICMB 18666	5	99.33
ICMB 101988	5	100.0
ICMB 101989	5	99.33
ICMB 13777	5	100.0
ICMB 101990	5	99.33
ICMB 15666	5	100.0
ICMB 15777	5	100.0
ICMB 16666	5	97.34
ICMB 101932	5	100.0
ICMB 101551	5	96.67
ICMB 101410	5	96.65
ICMB 100132	5	100.0
ICMB 101922	5	97.95
ICMB 101991	5	100.0
ICMB 101992	5	99.31
ICMB 101426	5	93.33
ICMB 101993	5	97.31
ICMB 100613	5	91.14
ICMB 101806	5	99.33
ICMR 14222	5	77.52
ICMR 16444	5	100.0
ICMR 101049	6	100.0
ICMR 101140	6	92.78
ICMR 101779	6	100.0
ICMR 101742	6	92.78
ICMR 102337	6	93.33
ICMR 102354	6	100.0
ICMR 102549	6	96.61
ICMR 100499	6	81.22
ICMR 101699	6	99.44
ICMR 102389	6	100.0
ICMR 100505	6	92.74
ICMR 102434	6	99.44
ICMR 100540	6	92.1
ICMR 100509	6	96.11
ICMR 102004	6	100.0
ICMR 101087	6	100.0
ICMR 19888	6	100.0
ICMR 102289	6	94.43
ICMR 100458	6	100.0
ICMR 101707	6	100.0
ICMR 100511	6	96.09
ICMR 102451	6	99.44
ICMR 102436	6	94.8
ICMR 102441	6	96.67
ICMR 102003	6	100.0
ICMR 102386	6	100.0
ICMR 102339	6	92.74
ICMR 101788	6	82.41
ICMR 102454	6	90.0
