Rep_Name	Match	MisMatch	Missing	PurityScore
ICMR 100187:1	29	0	1	100.0
ICMR 100187:2	27	0	3	100.0
ICMR 100187:3	30	0	0	100.0
ICMR 100187:4	30	0	0	100.0
ICMR 100187:5	30	0	0	100.0
ICMR 100187:6	30	0	0	100.0
ICMR 100187:7	30	0	0	100.0
ICMR 100187:8	30	0	0	100.0
ICMR 15666:1	30	0	0	100.0
ICMR 15666:2	30	0	0	100.0
ICMR 15666:3	30	0	0	100.0
ICMR 15666:4	30	0	0	100.0
ICMR 15666:5	30	0	0	100.0
ICMR 15666:6	30	0	0	100.0
ICMR 15666:7	30	0	0	100.0
ICMR 15666:8	30	0	0	100.0
ICMR 18777:1	30	0	0	100.0
ICMR 18777:2	30	0	0	100.0
ICMR 18777:3	30	0	0	100.0
ICMR 18777:4	30	0	0	100.0
ICMR 18777:5	30	0	0	100.0
ICMR 18777:6	30	0	0	100.0
ICMR 18777:7	30	0	0	100.0
ICMR 18777:8	30	0	0	100.0
ICMR 100487:1	30	0	0	100.0
ICMR 100487:2	30	0	0	100.0
ICMR 100487:3	30	0	0	100.0
ICMR 100487:4	23	0	7	100.0
ICMR 100487:5	30	0	0	100.0
ICMR 100487:6	30	0	0	100.0
ICMR 100487:7	30	0	0	100.0
ICMR 100487:8	30	0	0	100.0
ICMR 100294:1	30	0	0	100.0
ICMR 100294:2	30	0	0	100.0
ICMR 100294:3	30	0	0	100.0
ICMR 100294:4	30	0	0	100.0
ICMR 100294:5	30	0	0	100.0
ICMR 100294:6	30	0	0	100.0
ICMR 100294:7	30	0	0	100.0
ICMR 100294:8	24	4	2	85.71
ICMR 102061:1	25	5	0	83.33
ICMR 102061:2	25	5	0	83.33
ICMR 102061:3	25	5	0	83.33
ICMR 102061:4	25	5	0	83.33
ICMR 102061:5	24	6	0	80.0
ICMR 102061:6	24	6	0	80.0
ICMR 102061:7	25	5	0	83.33
ICMR 102061:8	25	5	0	83.33
ICMR 101989:1	30	0	0	100.0
ICMR 101989:2	30	0	0	100.0
ICMR 101989:3	30	0	0	100.0
ICMR 101989:4	30	0	0	100.0
ICMR 101989:5	29	0	1	100.0
ICMR 101989:6	29	1	0	96.67
ICMR 101989:7	30	0	0	100.0
ICMR 101989:8	30	0	0	100.0
ICMR 19777:1	30	0	0	100.0
ICMR 19777:2	30	0	0	100.0
ICMR 19777:3	30	0	0	100.0
ICMR 19777:4	30	0	0	100.0
ICMR 19777:5	30	0	0	100.0
ICMR 19777:6	30	0	0	100.0
ICMR 19777:7	30	0	0	100.0
ICMR 19777:8	30	0	0	100.0
ICMR 15999:1	13	17	0	43.33
ICMR 15999:2	13	17	0	43.33
ICMR 15999:3	13	16	1	44.83
ICMR 15999:4	13	17	0	43.33
ICMR 15999:5	13	17	0	43.33
ICMR 15999:6	13	17	0	43.33
ICMR 15999:7	13	17	0	43.33
ICMR 15999:8	13	17	0	43.33
ICMR 15999:9	13	17	0	43.33
ICMR 15999:10	13	17	0	43.33
ICMR 15999:11	13	17	0	43.33
ICMR 15999:12	13	16	1	44.83
ICMR 15999:13	13	17	0	43.33
