SAMPLE_UID	SAMPLE_NAME
ASI8FipUTSVO4	H 112:9
ASI8FjalLoMeA	ICSX 2010046:5
ASI8F7cnAKQ2m	ICSX 2010048:5
ASI8FHoXtqqDy	ICSX 2010051:1
ASI8FA5hXsZ4X	ICSX 2010053:4
ASI8FAbmmToog	ICSX 2010056:2
ASI8Fv3sRHcVf	ICSX 2010058:2
ASI8FMWbsdwwe	ICSR 93023:9
ASI8FLgsxeqm2	H 112:10
ASI8FmYHvbVmS	ICSX 2010046:6
ASI8FqyCScaOp	ICSX 2010048:6
ASI8F6fhuM3J1	ICSX 2010051:2
ASI8F9gOQ2R3b	ICSX 2010053:5
ASI8FmZlCFZGr	ICSX 2010056:3
ASI8FDhoscHFD	ICSX 2010058:3
ASI8FDW374oHF	ICSX 2010060:1
ASI8F7i1PLHED	ICSX 2010045:1
ASI8FC3ek9HE5	ICSX 2010047:1
ASI8Fqhh23p7W	ICSX 2010049:1
ASI8FITrBmeNi	ICSX 2010051:3
ASI8FCXyZe3vx	ICSX 2010053:6
ASI8FuMjjYBAq	ICSX 2010056:4
ASI8FoXcry5x3	ICSX 2010058:4
ASI8F0S2GuA6c	ICSX 2010060:2
ASI8FIPJ2jp3f	ICSX 2010045:2
ASI8FFzMDytQA	ICSX 2010047:2
ASI8FmGlyN1Xl	ICSX 2010049:2
ASI8FGFMEACLY	ICSX 2010051:4
ASI8F33VwkRbq	ICSB 474:13
ASI8FyZfYsWkm	ICSX 2010056:5
ASI8FEa0GMO48	ICSX 2010058:5
ASI8FYyjLuBIz	ICSX 2010060:3
ASI8FZHLfKE6R	ICSX 2010045:3
ASI8FnOPKaAsi	ICSX 2010047:3
ASI8F4UqXvRaM	ICSX 2010049:3
ASI8FdzXSl1gF	ICSX 2010051:5
ASI8F9c9u4gFe	ICSB 474:14
ASI8FL2MvOSXJ	ICSX 2010056:6
ASI8FwP67I8ln	ICSX 2010058:6
ASI8FRIsk9WXX	ICSX 2010060:4
ASI8F8isvriea	ICSX 2010045:4
ASI8FvH7Hf0CV	ICSX 2010047:4
ASI8F3VnRh732	ICSX 2010049:4
ASI8FG2dvr2nA	ICSX 2010051:6
ASI8FYB2tVUZH	ICSX 2010055:1
ASI8FAJzWNMD8	ICSX 2010057:1
ASI8FkQgTLXUR	ICSX 2010059:1
ASI8Fy4w6jNmA	ICSX 2010060:5
ASI8FrOtISXtW	ICSX 2010045:5
ASI8F2af7EvdU	ICSX 2010047:5
ASI8FIVEoolTl	ICSX 2010049:5
ASI8FaV10R6hW	ICSX 2010052:1
ASI8FEUwkt7xp	ICSX 2010055:2
ASI8FneSnIoc2	ICSX 2010057:2
ASI8FlnxYOmsY	ICSX 2010059:2
ASI8FlKlUnEr3	ICSX 2010060:6
ASI8Fk4A01rk4	ICSX 2010045:6
ASI8FxFqMo7hl	ICSX 2010047:6
ASI8FZ5Zss1c3	ICSX 2010049:6
ASI8FvaTHB2GZ	ICSX 2010052:2
ASI8FYNMkY8JS	ICSX 2010055:3
ASI8FGKx47Fvh	ICSX 2010057:3
ASI8FlURnyKmy	ICSX 2010059:3
ASI8F52R2pHGs	ICSX 2010061:1
ASI8FRwKi64DP	ICSX 2010046:1
ASI8Ft3CWMFkO	ICSX 2010048:1
ASI8F3v7KZsX5	ICSB 467:13
ASI8FarAGeaWL	ICSX 2010052:3
ASI8FxizNXeQa	ICSX 2010055:4
ASI8F5FYbVsWl	ICSX 2010057:4
ASI8FerNxyGay	ICSX 2010059:4
ASI8FbsN9izY0	ICSX 2010061:2
ASI8F2sbB5OQf	ICSX 2010046:2
ASI8FzeQ5WltO	ICSX 2010048:2
ASI8Fg8hPIY9L	ICSB 467:14
ASI8FvZORFruX	ICSX 2010053:1
ASI8FXfqv8VK7	ICSX 2010055:5
ASI8FzMqH5x2Y	ICSX 2010057:5
ASI8Fc06I5Dvt	ICSX 2010059:5
ASI8FhnySRD5X	ICSX 2010061:3
ASI8FvO8zwKgU	ICSX 2010046:3
ASI8FLUJsO24p	ICSX 2010048:3
ASI8F3Wbmg6Ms	ICSX 2010050:1
ASI8Fk27Mgagl	ICSX 2010053:2
ASI8FtMVAFrub	ICSX 2010055:6
ASI8FLTsk9RrB	ICSX 2010057:6
ASI8FvK2s32wZ	ICSX 2010059:6
ASI8Fhb2jqHqg	ICSX 2010046:4
ASI8FfThWaQg1	ICSX 2010048:4
ASI8FKbeTb71R	ICSX 2010050:2
ASI8FZIjl97D2	ICSX 2010053:3
ASI8FGqslZcxP	ICSX 2010056:1
ASI8Fnck4YPaY	ICSX 2010058:1
ASI8FHtztEDPi	ICSR 93023:8
ASI8FNGNZ59S3	ICSX 2010061:4
ASI8Fgu6RedYq	ICSX 2010064:2
ASI8FmSWe7epV	ICSX 2010065:6
ASI8FbEJOI0pt	ICSX 2010067:6
ASI8F4H9KBCN4	ICSX 2010069:6
ASI8F4jHqeqVG	ICSX 2010072:1
ASI8FUMsu7a1c	ICSX 2010074:4
ASI8FIMV3W8F7	ICSX 2010076:4
ASI8FXJ1qVBlf	ICSX 2010061:5
ASI8FoJsqAQC8	ICSX 2010064:3
ASI8FpCDtd7Gy	ICSX 2010066:1
ASI8FSBfPSSNV	ICSX 2010068:1
ASI8FXhcgde6a	ICSV 93046:11
ASI8FnLWSnxiD	ICSX 2010072:2
ASI8F9KmdpoJa	ICSX 2010074:5
ASI8FbdHZV3aH	ICSX 2010076:5
ASI8F4Hn7TRWV	ICSX 2010061:6
ASI8FO4DgbRvO	ICSX 2010064:4
ASI8FJrG17viW	ICSX 2010066:2
ASI8FwUoZZN2h	ICSX 2010068:2
ASI8FIFEtLLbP	ICSV 93046:12
ASI8FbTUF6LiC	ICSX 2010072:3
ASI8F8kssqE8H	ICSX 2010074:6
ASI8FZt52HVwk	ICSX 2010076:6
ASI8FMlAiwZn7	ICSX 2010062:1
ASI8FywrQelkJ	ICSX 2010064:5
ASI8Fxb5nFgGs	ICSX 2010066:3
ASI8F4k56GpIL	ICSX 2010068:3
ASI8FMwVLrK2q	ICSX 2010072:4
ASI8FTWxDYmXj	ICSX 2010075:1
ASI8FbWhWCKSY	ICSX 2010077:1
ASI8F6mGEoD2y	ICSX 2010062:2
ASI8F4Q13nUNE	ICSX 2010064:6
ASI8Fop5RIUBS	ICSX 2010066:4
ASI8FoSYdpEfn	ICSX 2010068:4
ASI8FXqDnvXIl	ICSX 2010072:5
ASI8Ff1EEqGch	ICSX 2010075:2
ASI8Fn5MNjKBS	ICSX 2010077:2
ASI8Fhj5IatQy	ICSX 2010062:3
ASI8FmxF7GyeO	ICSR 93036:10
ASI8FdUZTJy8O	ICSX 2010066:5
ASI8FUpPsYD3h	ICSX 2010068:5
ASI8FFEPGxpfX	ICSX 2010072:6
ASI8FEgRDh6go	ICSX 2010075:3
ASI8FTq3zZokC	ICSX 2010077:3
ASI8FLu54LCXv	ICSX 2010062:4
ASI8FaC1foJOk	ICSR 93036:11
ASI8Fo9gFlEsV	ICSX 2010066:6
ASI8FDAbWLULZ	ICSX 2010068:6
