DESIGNATION	SAMPLE_UID
ICMR 100187:1	ICMR 100187
ICMR 100187:2	ICMR 100187
ICMR 100187:3	ICMR 100187
ICMR 100187:4	ICMR 100187
ICMR 100187:5	ICMR 100187
ICMR 100187:6	ICMR 100187
ICMR 100187:7	ICMR 100187
ICMR 100187:8	ICMR 100187
ICMR 15666:1	ICMR 15666
ICMR 15666:2	ICMR 15666
ICMR 15666:3	ICMR 15666
ICMR 15666:4	ICMR 15666
ICMR 15666:5	ICMR 15666
ICMR 15666:6	ICMR 15666
ICMR 15666:7	ICMR 15666
ICMR 15666:8	ICMR 15666
ICMR 18777:1	ICMR 18777
ICMR 18777:2	ICMR 18777
ICMR 18777:3	ICMR 18777
ICMR 18777:4	ICMR 18777
ICMR 18777:5	ICMR 18777
ICMR 18777:6	ICMR 18777
ICMR 18777:7	ICMR 18777
ICMR 18777:8	ICMR 18777
ICMR 100487:1	ICMR 100487
ICMR 100487:2	ICMR 100487
ICMR 100487:3	ICMR 100487
ICMR 100487:4	ICMR 100487
ICMR 100487:5	ICMR 100487
ICMR 100487:6	ICMR 100487
ICMR 100487:7	ICMR 100487
ICMR 100487:8	ICMR 100487
ICMR 100294:1	ICMR 100294
ICMR 100294:2	ICMR 100294
ICMR 100294:3	ICMR 100294
ICMR 100294:4	ICMR 100294
ICMR 100294:5	ICMR 100294
ICMR 100294:6	ICMR 100294
ICMR 100294:7	ICMR 100294
ICMR 100294:8	ICMR 100294
ICMR 102061:1	ICMR 102061
ICMR 102061:2	ICMR 102061
ICMR 102061:3	ICMR 102061
ICMR 102061:4	ICMR 102061
ICMR 102061:5	ICMR 102061
ICMR 102061:6	ICMR 102061
ICMR 102061:7	ICMR 102061
ICMR 102061:8	ICMR 102061
ICMR 101989:1	ICMR 101989
ICMR 101989:2	ICMR 101989
ICMR 101989:3	ICMR 101989
ICMR 101989:4	ICMR 101989
ICMR 101989:5	ICMR 101989
ICMR 101989:6	ICMR 101989
ICMR 101989:7	ICMR 101989
ICMR 101989:8	ICMR 101989
ICMR 19777:1	ICMR 19777
ICMR 19777:2	ICMR 19777
ICMR 19777:3	ICMR 19777
ICMR 19777:4	ICMR 19777
ICMR 19777:5	ICMR 19777
ICMR 19777:6	ICMR 19777
ICMR 19777:7	ICMR 19777
ICMR 19777:8	ICMR 19777
ICMR 15999:1	ICMR 15999
ICMR 15999:2	ICMR 15999
ICMR 15999:3	ICMR 15999
ICMR 15999:4	ICMR 15999
ICMR 15999:5	ICMR 15999
ICMR 15999:6	ICMR 15999
ICMR 15999:7	ICMR 15999
ICMR 15999:8	ICMR 15999
ICMR 100437:1	ICMR 100437
ICMR 100437:2	ICMR 100437
ICMR 100437:3	ICMR 100437
ICMR 100437:4	ICMR 100437
ICMR 100437:5	ICMR 100437
ICMR 100437:6	ICMR 100437
ICMR 100437:7	ICMR 100437
ICMR 100437:8	ICMR 100437
ICMR 17222:1	ICMR 17222
ICMR 17222:2	ICMR 17222
ICMR 17222:3	ICMR 17222
ICMR 17222:4	ICMR 17222
ICMR 17222:5	ICMR 17222
ICMR 17222:6	ICMR 17222
ICMR 17222:7	ICMR 17222
ICMR 17222:8	ICMR 17222
ICMR 13999:1	ICMR 13999
ICMR 13999:2	ICMR 13999
ICMR 13999:3	ICMR 13999
ICMR 13999:4	ICMR 13999
ICMR 13999:5	ICMR 13999
ICMR 13999:6	ICMR 13999
ICMR 13999:7	ICMR 13999
ICMR 13999:8	ICMR 13999
ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B:1	ICMR 13666
ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B:2	ICMR 13666
ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B:3	ICMR 13666
ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B:4	ICMR 13666
ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B:5	ICMR 13666
ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B:6	ICMR 13666
ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B:7	ICMR 13666
ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B:8	ICMR 13666
ICMR 101728:1	ICMR 101728
ICMR 101728:2	ICMR 101728
ICMR 101728:3	ICMR 101728
ICMR 101728:4	ICMR 101728
ICMR 101728:5	ICMR 101728
ICMR 101728:6	ICMR 101728
ICMR 101728:7	ICMR 101728
ICMR 101728:8	ICMR 101728
ICMR 08222:1	ICMR 08222
ICMR 08222:2	ICMR 08222
ICMR 08222:3	ICMR 08222
ICMR 08222:4	ICMR 08222
ICMR 08222:5	ICMR 08222
ICMR 08222:6	ICMR 08222
ICMR 08222:7	ICMR 08222
ICMR 08222:8	ICMR 08222
ICMR 102122:1	ICMR 102122
ICMR 102122:2	ICMR 102122
ICMR 102122:3	ICMR 102122
ICMR 102122:4	ICMR 102122
ICMR 102122:5	ICMR 102122
ICMR 102122:6	ICMR 102122
ICMR 102122:7	ICMR 102122
ICMR 102122:8	ICMR 102122
ICMR 09888:1	ICMR 09888
ICMR 09888:2	ICMR 09888
ICMR 09888:3	ICMR 09888
ICMR 09888:4	ICMR 09888
ICMR 09888:5	ICMR 09888
ICMR 09888:6	ICMR 09888
ICMR 09888:7	ICMR 09888
ICMR 09888:8	ICMR 09888
ICMR 102124:1	ICMR 102124
ICMR 102124:2	ICMR 102124
ICMR 102124:3	ICMR 102124
ICMR 102124:4	ICMR 102124
ICMR 102124:5	ICMR 102124
ICMR 102124:6	ICMR 102124
ICMR 102124:7	ICMR 102124
ICMR 102124:8	ICMR 102124
ICMR 12888:1	ICMR 12888
ICMR 12888:2	ICMR 12888
ICMR 12888:3	ICMR 12888
ICMR 12888:4	ICMR 12888
ICMR 12888:5	ICMR 12888
ICMR 12888:6	ICMR 12888
ICMR 12888:7	ICMR 12888
ICMR 12888:8	ICMR 12888
ICMR 102387:1	ICMR 102387
ICMR 102387:2	ICMR 102387
ICMR 102387:3	ICMR 102387
ICMR 102387:4	ICMR 102387
ICMR 102387:5	ICMR 102387
ICMR 102387:6	ICMR 102387
ICMR 102387:7	ICMR 102387
ICMR 102387:8	ICMR 102387
ICMR 12111:1	ICMR 12111
ICMR 12111:2	ICMR 12111
ICMR 12111:3	ICMR 12111
ICMR 12111:4	ICMR 12111
ICMR 12111:5	ICMR 12111
ICMR 12111:6	ICMR 12111
ICMR 12111:7	ICMR 12111
ICMR 12111:8	ICMR 12111
ICMP 100126:1	ICMP 100126
ICMP 100126:2	ICMP 100126
ICMP 100126:3	ICMP 100126
ICMP 100126:4	ICMP 100126
ICMP 100126:5	ICMP 100126
ICMP 100126:6	ICMP 100126
ICMP 100126:7	ICMP 100126
ICMP 100126:8	ICMP 100126
ICMR 1905:1	ICMR 1905
ICMR 1905:2	ICMR 1905
ICMR 1905:3	ICMR 1905
ICMR 1905:4	ICMR 1905
ICMR 1905:5	ICMR 1905
ICMR 1905:6	ICMR 1905
ICMR 1905:7	ICMR 1905
ICMR 1905:8	ICMR 1905
ICMR 100931:1	ICMR 100931
ICMR 100931:2	ICMR 100931
ICMR 100931:3	ICMR 100931
ICMR 100931:4	ICMR 100931
ICMR 100931:5	ICMR 100931
ICMR 100931:6	ICMR 100931
ICMR 100931:7	ICMR 100931
ICMR 100931:8	ICMR 100931
ICMX 1410895-B-8-1-2:1	ICMX 1410895-B-8-1-2
ICMX 1410895-B-8-1-2:2	ICMX 1410895-B-8-1-2
ICMX 1410895-B-8-1-2:3	ICMX 1410895-B-8-1-2
ICMX 1410895-B-8-1-2:4	ICMX 1410895-B-8-1-2
ICMX 1410895-B-8-1-2:5	ICMX 1410895-B-8-1-2
ICMX 1410895-B-8-1-2:6	ICMX 1410895-B-8-1-2
ICMX 1410895-B-8-1-2:7	ICMX 1410895-B-8-1-2
ICMX 1410895-B-8-1-2:8	ICMX 1410895-B-8-1-2
ICMP 100070:1	ICMP 100070
ICMP 100070:2	ICMP 100070
ICMP 100070:3	ICMP 100070
ICMP 100070:4	ICMP 100070
ICMP 100070:5	ICMP 100070
ICMP 100070:6	ICMP 100070
ICMP 100070:7	ICMP 100070
ICMP 100070:8	ICMP 100070
ICMR 102180:1	ICMR 102180
ICMR 102180:2	ICMR 102180
ICMR 102180:3	ICMR 102180
ICMR 102180:4	ICMR 102180
ICMR 102180:5	ICMR 102180
ICMR 102180:6	ICMR 102180
ICMR 102180:7	ICMR 102180
ICMR 102180:8	ICMR 102180
ICMR 101415:1	ICMR 101415
ICMR 101415:2	ICMR 101415
ICMR 101415:3	ICMR 101415
ICMR 101415:4	ICMR 101415
ICMR 101415:5	ICMR 101415
ICMR 101415:6	ICMR 101415
ICMR 101415:7	ICMR 101415
ICMR 101415:8	ICMR 101415
ICMR 1804:1	ICMR 1804
ICMR 1804:2	ICMR 1804
ICMR 1804:3	ICMR 1804
ICMR 1804:4	ICMR 1804
ICMR 1804:5	ICMR 1804
ICMR 1804:6	ICMR 1804
ICMR 1804:7	ICMR 1804
ICMR 1804:8	ICMR 1804
ICMR 08111:3	ICMR 08111
ICMR 08111:4	ICMR 08111
ICMR 08111:5	ICMR 08111
ICMR 08111:6	ICMR 08111
ICMR 08111:7	ICMR 08111
ICMR 08111:8	ICMR 08111
ICMR 08111:9	ICMR 08111
ICMR 08111:10	ICMR 08111
ICMR 10888:1	ICMR 10888
ICMR 10888:2	ICMR 10888
ICMR 10888:3	ICMR 10888
ICMR 10888:4	ICMR 10888
ICMR 10888:5	ICMR 10888
ICMR 10888:6	ICMR 10888
ICMR 10888:7	ICMR 10888
ICMR 10888:8	ICMR 10888
ICMR 06222:1	ICMR 06222
ICMR 06222:2	ICMR 06222
ICMR 06222:3	ICMR 06222
ICMR 06222:4	ICMR 06222
ICMR 06222:5	ICMR 06222
ICMR 06222:6	ICMR 06222
ICMR 06222:7	ICMR 06222
ICMR 06222:8	ICMR 06222
ICMR 12222:1	ICMR 12222
ICMR 12222:2	ICMR 12222
ICMR 12222:3	ICMR 12222
ICMR 12222:4	ICMR 12222
ICMR 12222:5	ICMR 12222
ICMR 12222:6	ICMR 12222
ICMR 12222:7	ICMR 12222
ICMR 12222:8	ICMR 12222
ICMR 11003:1	ICMR 11003
ICMR 11003:2	ICMR 11003
ICMR 11003:3	ICMR 11003
ICMR 11003:4	ICMR 11003
ICMR 11003:5	ICMR 11003
ICMR 11003:6	ICMR 11003
ICMR 11003:7	ICMR 11003
ICMR 11003:8	ICMR 11003
IP 21187:1	IP 21187
IP 21187:2	IP 21187
IP 21187:3	IP 21187
IP 21187:4	IP 21187
IP 21187:5	IP 21187
IP 21187:6	IP 21187
IP 21187:7	IP 21187
IP 21187:8	IP 21187
AIMP 92901:1	AIMP 92901
AIMP 92901:2	AIMP 92901
AIMP 92901:3	AIMP 92901
AIMP 92901:4	AIMP 92901
AIMP 92901:5	AIMP 92901
AIMP 92901:6	AIMP 92901
AIMP 92901:7	AIMP 92901
AIMP 92901:8	AIMP 92901
ICMR 102621:1	ICMR 102621
ICMR 102621:2	ICMR 102621
ICMR 102621:3	ICMR 102621
ICMR 102621:4	ICMR 102621
ICMR 102621:5	ICMR 102621
ICMR 102621:6	ICMR 102621
ICMR 102621:7	ICMR 102621
ICMR 102621:8	ICMR 102621
ICMR 102622:1	ICMR 102622
ICMR 102622:2	ICMR 102622
ICMR 102622:3	ICMR 102622
ICMR 102622:4	ICMR 102622
ICMR 102622:5	ICMR 102622
ICMR 102622:6	ICMR 102622
ICMR 102622:7	ICMR 102622
ICMR 102622:8	ICMR 102622
ICMR 102623:1	ICMR 102623
ICMR 102623:2	ICMR 102623
ICMR 102623:3	ICMR 102623
ICMR 102623:4	ICMR 102623
ICMR 102623:5	ICMR 102623
ICMR 102623:6	ICMR 102623
ICMR 102623:7	ICMR 102623
ICMR 102623:8	ICMR 102623
ICMR 102624:1	ICMR 102624
ICMR 102624:2	ICMR 102624
ICMR 102624:3	ICMR 102624
ICMR 102624:4	ICMR 102624
ICMR 102624:5	ICMR 102624
ICMR 102624:6	ICMR 102624
ICMR 102624:7	ICMR 102624
ICMR 102624:8	ICMR 102624
ICMB 1502:1	ICMB 1502
ICMB 1502:2	ICMB 1502
ICMB 1502:3	ICMB 1502
ICMB 1502:4	ICMB 1502
ICMB 1502:5	ICMB 1502
ICMB 1608:1	ICMB 1608
ICMB 1608:2	ICMB 1608
ICMB 1608:3	ICMB 1608
ICMB 1608:4	ICMB 1608
