SAMPLE_NAME	DESIGNATION	PARENT_A	PARENT_B	
ICMX 2010769:8	ICMX 2010769	ICMR 1203	ICMR 06222	
ICMX 2010769:9	ICMX 2010769	ICMR 1203	ICMR 06222	
ICMX 2010769:11	ICMX 2010769	ICMR 1203	ICMR 06222	
ICMX 2010769:1	ICMX 2010769	ICMR 1203	ICMR 06222	
ICMX 2010769:2	ICMX 2010769	ICMR 1203	ICMR 06222	
ICMX 2010769:3	ICMX 2010769	ICMR 1203	ICMR 06222	
ICMX 2010769:4	ICMX 2010769	ICMR 1203	ICMR 06222	
ICMX 2010769:5	ICMX 2010769	ICMR 1203	ICMR 06222	
ICMX 2010769:6	ICMX 2010769	ICMR 1203	ICMR 06222	
ICMX 2010769:7	ICMX 2010769	ICMR 1203	ICMR 06222	
ICMX 2010770:1	ICMX 2010770	ICMR 1502	ICMR 08111	
ICMX 2010770:3	ICMX 2010770	ICMR 1502	ICMR 08111	
ICMX 2010770:4	ICMX 2010770	ICMR 1502	ICMR 08111	
ICMX 2010770:5	ICMX 2010770	ICMR 1502	ICMR 08111	
ICMX 2010770:6	ICMX 2010770	ICMR 1502	ICMR 08111	
ICMX 2010771:1	ICMX 2010771	ICMR 1503	ICMR 08111	
ICMX 2010771:2	ICMX 2010771	ICMR 1503	ICMR 08111	
ICMX 2010771:3	ICMX 2010771	ICMR 1503	ICMR 08111	
ICMX 2010771:4	ICMX 2010771	ICMR 1503	ICMR 08111	
ICMX 2010771:5	ICMX 2010771	ICMR 1503	ICMR 08111	
ICMX 2010771:6	ICMX 2010771	ICMR 1503	ICMR 08111	
ICMX 2010771:7	ICMX 2010771	ICMR 1503	ICMR 08111	
ICMX 2010771:8	ICMX 2010771	ICMR 1503	ICMR 08111	
ICMX 2010771:9	ICMX 2010771	ICMR 1503	ICMR 08111	
ICMX 2010771:10	ICMX 2010771	ICMR 1503	ICMR 08111	
ICMX 2010772:3	ICMX 2010772	ICMR 1701	ICMR 08111	
ICMX 2010772:4	ICMX 2010772	ICMR 1701	ICMR 08111	
ICMX 2010772:5	ICMX 2010772	ICMR 1701	ICMR 08111	
ICMX 2010772:6	ICMX 2010772	ICMR 1701	ICMR 08111	
ICMX 2010772:7	ICMX 2010772	ICMR 1701	ICMR 08111	
ICMX 2010772:8	ICMX 2010772	ICMR 1701	ICMR 08111	
ICMX 2010772:1	ICMX 2010772	ICMR 1701	ICMR 08111	
ICMX 2010772:2	ICMX 2010772	ICMR 1701	ICMR 08111	
ICMX 2010773:4	ICMX 2010773	ICMR 1803	ICMR 10888	
ICMX 2010773:1	ICMX 2010773	ICMR 1803	ICMR 10888	
ICMX 2010773:2	ICMX 2010773	ICMR 1803	ICMR 10888	
ICMX 2010773:3	ICMX 2010773	ICMR 1803	ICMR 10888	
ICMX 2010774:1	ICMX 2010774	ICMR 1805	ICMR 06222	
ICMX 2010774:2	ICMX 2010774	ICMR 1805	ICMR 06222	
ICMX 2010774:3	ICMX 2010774	ICMR 1805	ICMR 06222	
ICMX 2010776:8	ICMX 2010776	ICMR 1701	IP 21187	
ICMX 2010776:9	ICMX 2010776	ICMR 1701	IP 21187	
ICMX 2010776:10	ICMX 2010776	ICMR 1701	IP 21187	
ICMX 2010776:11	ICMX 2010776	ICMR 1701	IP 21187	
ICMX 2010776:12	ICMX 2010776	ICMR 1701	IP 21187	
ICMX 2010776:1	ICMX 2010776	ICMR 1701	IP 21187	
ICMX 2010776:13	ICMX 2010776	ICMR 1701	IP 21187	
ICMX 2010776:2	ICMX 2010776	ICMR 1701	IP 21187	
ICMX 2010776:14	ICMX 2010776	ICMR 1701	IP 21187	
ICMX 2010776:15	ICMX 2010776	ICMR 1701	IP 21187	
ICMX 2010776:4	ICMX 2010776	ICMR 1701	IP 21187	
ICMX 2010776:5	ICMX 2010776	ICMR 1701	IP 21187	
ICMX 2010776:6	ICMX 2010776	ICMR 1701	IP 21187	
ICMX 2010776:7	ICMX 2010776	ICMR 1701	IP 21187	
ICMX 2010777:5	ICMX 2010777	ICMR 100487	ICMR 101415	
ICMX 2010777:6	ICMX 2010777	ICMR 100487	ICMR 101415	
ICMX 2010777:7	ICMX 2010777	ICMR 100487	ICMR 101415	
ICMX 2010777:8	ICMX 2010777	ICMR 100487	ICMR 101415	
ICMX 2010777:9	ICMX 2010777	ICMR 100487	ICMR 101415	
ICMX 2010777:10	ICMX 2010777	ICMR 100487	ICMR 101415	
ICMX 2010777:11	ICMX 2010777	ICMR 100487	ICMR 101415	
ICMX 2010777:12	ICMX 2010777	ICMR 100487	ICMR 101415	
ICMX 2010777:1	ICMX 2010777	ICMR 100487	ICMR 101415	
ICMX 2010777:2	ICMX 2010777	ICMR 100487	ICMR 101415	
ICMX 2010777:3	ICMX 2010777	ICMR 100487	ICMR 101415	
ICMX 2010777:4	ICMX 2010777	ICMR 100487	ICMR 101415	
ICMX 2010778:4	ICMX 2010778	ICMR 13999	ICMR 101415	
ICMX 2010778:5	ICMX 2010778	ICMR 13999	ICMR 101415	
ICMX 2010778:6	ICMX 2010778	ICMR 13999	ICMR 101415	
ICMX 2010778:7	ICMX 2010778	ICMR 13999	ICMR 101415	
ICMX 2010778:8	ICMX 2010778	ICMR 13999	ICMR 101415	
ICMX 2010778:9	ICMX 2010778	ICMR 13999	ICMR 101415	
ICMX 2010778:10	ICMX 2010778	ICMR 13999	ICMR 101415	
ICMX 2010778:11	ICMX 2010778	ICMR 13999	ICMR 101415	
ICMX 2010778:12	ICMX 2010778	ICMR 13999	ICMR 101415	
ICMX 2010778:1	ICMX 2010778	ICMR 13999	ICMR 101415	
ICMX 2010778:13	ICMX 2010778	ICMR 13999	ICMR 101415	
ICMX 2010778:2	ICMX 2010778	ICMR 13999	ICMR 101415	
