F_One_Name	Parent_A	Parent_A_Score	Parent_B	Parent_B_Score	Polymorphic	Call_Hetero	Call_ParentA	Call_ParentB	Call_Missing	Percentage_Het	Comment
ICCX 191051:21	ICCV 181602	93.27	ICCV 181605	98.18	7	0	7	0	0	0.0	failedF1
ICCX 191051:22	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:23	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:24	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:25	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:26	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:27	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:28	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:29	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:30	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:31	ICCV 181602	93.27	ICCV 181605	98.18	7	0	7	0	0	0.0	failedF1
ICCX 191051:32	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:33	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:34	ICCV 181602	93.27	ICCV 181605	98.18	7	0	7	0	0	0.0	failedF1
ICCX 191051:35	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:36	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:37	ICCV 181602	93.27	ICCV 181605	98.18	7	0	7	0	0	0.0	failedF1
ICCX 191051:38	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:39	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:40	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:41	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:42	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:43	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:44	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:45	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
ICCX 191051:46	ICCV 181602	93.27	ICCV 181605	98.18	7	7	0	0	0	100.0	successfulF1
