Name	NoReps	MeanScore
ICC 11142	8	100.0
ICC 14189	8	100.0
ICC 16346	8	100.0
ICC 17455	8	99.11
ICC 8854	8	98.22
ICC 8898	8	98.22
ICC 8916	8	98.22
ICC 8926	8	92.86
ICCV 181301	8	92.86
ICCV 181306	5	100.0
ICCV 181309	8	100.0
ICCV 181310	8	92.79
ICCV 181311	8	98.22
ICCV 181312	8	92.79
ICCV 181316	8	100.0
ICCV 181317	8	94.65
ICCV 181318	8	100.0
ICCV 181602	16	93.27
ICCV 181605	16	98.18
ICCV 181608	8	100.0
ICCV 181609	8	100.0
ICCV 181610	8	100.0
ICCV 181613	8	100.0
ICCV 181664	8	91.97
ICCV 191123	8	100.0
ICCV 191127	8	100.0
ICCV 92311	8	92.86
ICCV 95334	8	100.0
ICCV 96030	8	100.0
Jumbo	8	98.22
KRIPA	8	92.79
NBeG 119	8	77.47
