marker_count	total_combinations	zero_count	min_one_count	min_two_count
54	17578	54	17524	17439
53	17578	54	17524	17439
52	17578	54	17524	17439
51	17578	54	17524	17439
50	17578	54	17524	17439
49	17578	54	17524	17439
48	17578	54	17524	17439
47	17578	54	17524	17439
46	17578	54	17524	17439
45	17578	54	17524	17439
44	17578	54	17524	17439
43	17578	54	17524	17439
42	17578	54	17524	17439
41	17578	54	17524	17439
40	17578	54	17524	17439
39	17578	54	17524	17439
38	17578	54	17524	17439
37	17578	54	17524	17439
36	17578	54	17524	17439
35	17578	54	17524	17439
34	17578	54	17524	17439
33	17578	54	17524	17439
32	17578	56	17522	17439
31	17578	56	17522	17439
30	17578	56	17522	17438
29	17578	57	17521	17438
28	17578	57	17521	17437
27	17578	57	17521	17436
26	17578	57	17521	17435
25	17578	57	17521	17433
24	17578	57	17521	17430
23	17578	57	17521	17427
22	17578	59	17519	17423
21	17578	60	17518	17419
20	17578	61	17517	17412
19	17578	64	17514	17403
18	17578	64	17514	17389
17	17578	67	17511	17371
16	17578	74	17504	17348
15	17578	77	17501	17318
14	17578	81	17497	17280
13	17578	87	17491	17223
12	17578	105	17473	17140
11	17578	128	17450	17004
10	17578	165	17413	16811
9	17578	201	17377	16517
8	17578	293	17285	16110
7	17578	424	17154	15447
6	17578	628	16950	14495
5	17578	1067	16511	13013
