marker_count	total_combinations	zero_count	min_one_count	min_two_count
67	205120	401	204719	204024
66	205120	401	204719	204024
65	205120	401	204719	204024
64	205120	401	204719	204024
63	205120	401	204719	204024
62	205120	401	204719	204024
61	205120	401	204719	204024
60	205120	401	204719	204024
59	205120	401	204719	204024
58	205120	401	204719	204024
57	205120	401	204719	204024
56	205120	401	204719	204024
55	205120	401	204719	204024
54	205120	401	204719	204024
53	205120	401	204719	204024
52	205120	401	204719	204023
51	205120	401	204719	204022
50	205120	401	204719	204020
49	205120	401	204719	204018
48	205120	401	204719	204015
47	205120	401	204719	204012
46	205120	401	204719	204009
45	205120	402	204718	204003
44	205120	403	204717	203998
43	205120	405	204715	203992
42	205120	406	204714	203984
41	205120	424	204696	203975
40	205120	427	204693	203966
39	205120	435	204685	203955
38	205120	435	204685	203943
37	205120	437	204683	203930
36	205120	441	204679	203908
35	205120	448	204672	203885
34	205120	454	204666	203861
33	205120	454	204666	203836
32	205120	458	204662	203808
31	205120	465	204655	203772
30	205120	476	204644	203731
29	205120	481	204639	203687
28	205120	490	204630	203630
27	205120	535	204585	203561
26	205120	553	204567	203481
25	205120	576	204544	203393
24	205120	600	204520	203289
23	205120	628	204492	203167
22	205120	658	204462	203031
21	205120	687	204433	202886
20	205120	712	204408	202717
19	205120	731	204389	202532
18	205120	795	204325	202306
17	205120	841	204279	201993
16	205120	907	204213	201624
15	205120	1040	204080	201190
14	205120	1175	203945	200576
13	205120	1319	203801	199844
12	205120	1492	203628	198699
11	205120	1776	203344	197013
10	205120	2249	202871	194551
9	205120	2891	202229	190866
8	205120	4070	201050	185674
7	205120	5750	199370	177941
6	205120	8733	196387	167167
5	205120	12901	192219	151671
