marker_count	marker	total_combinations	zero_count	min_one_count	min_two_count
67	snpSB00158	205120	439	204681	203792
67	snpSB00324	205120	433	204687	203837
67	snpSB00369	205120	459	204661	203847
67	snpSB00364	205120	444	204676	203860
67	snpSB00388	205120	440	204680	203877
67	snpSB00106	205120	458	204662	203878
67	snpSB00321	205120	415	204705	203923
67	snpSB00323	205120	424	204696	203923
67	snpSB00313	205120	453	204667	203925
67	snpSB00164	205120	412	204708	203928
67	snpSB00143	205120	406	204714	203961
67	snpSB00348	205120	415	204705	203961
67	snpSB00110	205120	417	204703	203962
67	snpSB00359	205120	440	204680	203962
67	snpSB00366	205120	415	204705	203965
67	snpSB00320	205120	418	204702	203967
67	snpSB00365	205120	412	204708	203972
67	snpSB00361	205120	414	204706	203974
67	snpSB00382	205120	409	204711	203978
67	snpSB00368	205120	416	204704	203983
67	snpSB00327	205120	416	204704	203984
67	snpSB00387	205120	409	204711	203984
67	snpSB00332	205120	438	204682	203985
67	snpSB00372	205120	406	204714	203985
67	snpSB00318	205120	414	204706	203986
67	snpSB00371	205120	411	204709	203988
67	snpSB00314	205120	409	204711	203990
67	snpSB00362	205120	414	204706	203992
67	snpSB00335	205120	416	204704	203997
67	snpSB00109	205120	403	204717	203998
67	snpSB00325	205120	401	204719	203998
67	snpSB00315	205120	405	204715	204001
67	snpSB00370	205120	405	204715	204002
67	snpSB00338	205120	404	204716	204003
67	snpSB00347	205120	404	204716	204006
67	snpSB00341	205120	404	204716	204007
67	snpSB00389	205120	401	204719	204009
67	snpSB00326	205120	401	204719	204013
67	snpSB00328	205120	407	204713	204013
67	snpSB00357	205120	403	204717	204014
67	snpSB00319	205120	404	204716	204015
67	snpSB00312	205120	402	204718	204017
67	snpSB00345	205120	419	204701	204017
67	snpSB00305	205120	401	204719	204018
67	snpSB00363	205120	402	204718	204019
67	snpSB00284	205120	401	204719	204021
67	snpSB00146	205120	401	204719	204021
67	snpSB00384	205120	401	204719	204021
67	snpSB00144	205120	401	204719	204022
67	snpSB00317	205120	401	204719	204022
67	snpSB00330	205120	401	204719	204023
67	snpSB00358	205120	401	204719	204023
67	snpSB00376	205120	403	204717	204023
67	snpSB00148	205120	401	204719	204024
67	snpSB00169	205120	401	204719	204024
67	snpSB00294	205120	401	204719	204024
67	snpSB00344	205120	401	204719	204024
67	snpSB00343	205120	401	204719	204024
67	snpSB00346	205120	401	204719	204024
67	snpSB00352	205120	401	204719	204024
67	snpSB00351	205120	401	204719	204024
67	snpSB00356	205120	401	204719	204024
67	snpSB00354	205120	401	204719	204024
67	snpSB00360	205120	401	204719	204024
67	snpSB00367	205120	401	204719	204024
67	snpSB00379	205120	401	204719	204024
67	snpSB00383	205120	401	204719	204024
66	snpSB00158	205120	439	204681	203792
66	snpSB00324	205120	433	204687	203837
66	snpSB00369	205120	459	204661	203847
66	snpSB00364	205120	444	204676	203860
66	snpSB00388	205120	440	204680	203877
66	snpSB00106	205120	458	204662	203878
66	snpSB00323	205120	424	204696	203923
66	snpSB00321	205120	415	204705	203923
66	snpSB00313	205120	453	204667	203925
66	snpSB00164	205120	412	204708	203928
66	snpSB00143	205120	406	204714	203961
66	snpSB00348	205120	415	204705	203961
66	snpSB00110	205120	417	204703	203962
66	snpSB00359	205120	440	204680	203962
66	snpSB00366	205120	415	204705	203965
66	snpSB00320	205120	418	204702	203967
66	snpSB00365	205120	412	204708	203972
66	snpSB00361	205120	414	204706	203974
66	snpSB00382	205120	409	204711	203978
66	snpSB00368	205120	416	204704	203983
66	snpSB00327	205120	416	204704	203984
66	snpSB00387	205120	409	204711	203984
66	snpSB00332	205120	438	204682	203985
66	snpSB00372	205120	406	204714	203985
66	snpSB00318	205120	414	204706	203986
66	snpSB00371	205120	411	204709	203988
66	snpSB00314	205120	409	204711	203990
66	snpSB00362	205120	414	204706	203992
66	snpSB00335	205120	416	204704	203997
66	snpSB00109	205120	403	204717	203998
66	snpSB00325	205120	401	204719	203998
66	snpSB00315	205120	405	204715	204001
66	snpSB00370	205120	405	204715	204002
66	snpSB00338	205120	404	204716	204003
66	snpSB00347	205120	404	204716	204006
66	snpSB00341	205120	404	204716	204007
66	snpSB00389	205120	401	204719	204009
66	snpSB00328	205120	407	204713	204013
66	snpSB00326	205120	401	204719	204013
66	snpSB00357	205120	403	204717	204014
66	snpSB00319	205120	404	204716	204015
66	snpSB00312	205120	402	204718	204017
66	snpSB00345	205120	419	204701	204017
66	snpSB00305	205120	401	204719	204018
66	snpSB00363	205120	402	204718	204019
66	snpSB00146	205120	401	204719	204021
66	snpSB00284	205120	401	204719	204021
66	snpSB00384	205120	401	204719	204021
66	snpSB00144	205120	401	204719	204022
66	snpSB00317	205120	401	204719	204022
66	snpSB00330	205120	401	204719	204023
66	snpSB00358	205120	401	204719	204023
66	snpSB00376	205120	403	204717	204023
66	snpSB00169	205120	401	204719	204024
66	snpSB00294	205120	401	204719	204024
66	snpSB00148	205120	401	204719	204024
66	snpSB00352	205120	401	204719	204024
66	snpSB00344	205120	401	204719	204024
66	snpSB00343	205120	401	204719	204024
66	snpSB00346	205120	401	204719	204024
66	snpSB00360	205120	401	204719	204024
66	snpSB00356	205120	401	204719	204024
66	snpSB00351	205120	401	204719	204024
66	snpSB00354	205120	401	204719	204024
66	snpSB00383	205120	401	204719	204024
66	snpSB00379	205120	401	204719	204024
65	snpSB00158	205120	439	204681	203792
65	snpSB00324	205120	433	204687	203837
65	snpSB00369	205120	459	204661	203847
65	snpSB00364	205120	444	204676	203860
65	snpSB00388	205120	440	204680	203877
65	snpSB00106	205120	458	204662	203878
65	snpSB00321	205120	415	204705	203923
65	snpSB00323	205120	424	204696	203923
65	snpSB00313	205120	453	204667	203925
65	snpSB00164	205120	412	204708	203928
65	snpSB00143	205120	406	204714	203961
65	snpSB00348	205120	415	204705	203961
65	snpSB00110	205120	417	204703	203962
65	snpSB00359	205120	440	204680	203962
65	snpSB00366	205120	415	204705	203965
65	snpSB00320	205120	418	204702	203967
65	snpSB00365	205120	412	204708	203972
65	snpSB00361	205120	414	204706	203974
65	snpSB00382	205120	409	204711	203978
65	snpSB00368	205120	416	204704	203983
65	snpSB00327	205120	416	204704	203984
65	snpSB00387	205120	409	204711	203984
65	snpSB00332	205120	438	204682	203985
65	snpSB00372	205120	406	204714	203985
65	snpSB00318	205120	414	204706	203986
65	snpSB00371	205120	411	204709	203988
65	snpSB00314	205120	409	204711	203990
65	snpSB00362	205120	414	204706	203992
65	snpSB00335	205120	416	204704	203997
65	snpSB00109	205120	403	204717	203998
65	snpSB00325	205120	401	204719	203998
65	snpSB00315	205120	405	204715	204001
65	snpSB00370	205120	405	204715	204002
65	snpSB00338	205120	404	204716	204003
65	snpSB00347	205120	404	204716	204006
65	snpSB00341	205120	404	204716	204007
65	snpSB00389	205120	401	204719	204009
65	snpSB00326	205120	401	204719	204013
65	snpSB00328	205120	407	204713	204013
65	snpSB00357	205120	403	204717	204014
65	snpSB00319	205120	404	204716	204015
65	snpSB00312	205120	402	204718	204017
65	snpSB00345	205120	419	204701	204017
65	snpSB00305	205120	401	204719	204018
65	snpSB00363	205120	402	204718	204019
65	snpSB00146	205120	401	204719	204021
65	snpSB00284	205120	401	204719	204021
65	snpSB00384	205120	401	204719	204021
65	snpSB00144	205120	401	204719	204022
65	snpSB00317	205120	401	204719	204022
65	snpSB00330	205120	401	204719	204023
65	snpSB00358	205120	401	204719	204023
65	snpSB00376	205120	403	204717	204023
65	snpSB00169	205120	401	204719	204024
65	snpSB00148	205120	401	204719	204024
65	snpSB00294	205120	401	204719	204024
65	snpSB00343	205120	401	204719	204024
65	snpSB00344	205120	401	204719	204024
65	snpSB00346	205120	401	204719	204024
65	snpSB00352	205120	401	204719	204024
65	snpSB00351	205120	401	204719	204024
65	snpSB00354	205120	401	204719	204024
65	snpSB00360	205120	401	204719	204024
65	snpSB00379	205120	401	204719	204024
65	snpSB00383	205120	401	204719	204024
64	snpSB00158	205120	439	204681	203792
64	snpSB00324	205120	433	204687	203837
64	snpSB00369	205120	459	204661	203847
64	snpSB00364	205120	444	204676	203860
64	snpSB00388	205120	440	204680	203877
64	snpSB00106	205120	458	204662	203878
64	snpSB00323	205120	424	204696	203923
64	snpSB00321	205120	415	204705	203923
64	snpSB00313	205120	453	204667	203925
64	snpSB00164	205120	412	204708	203928
64	snpSB00143	205120	406	204714	203961
64	snpSB00348	205120	415	204705	203961
64	snpSB00110	205120	417	204703	203962
64	snpSB00359	205120	440	204680	203962
64	snpSB00366	205120	415	204705	203965
64	snpSB00320	205120	418	204702	203967
64	snpSB00365	205120	412	204708	203972
64	snpSB00361	205120	414	204706	203974
64	snpSB00382	205120	409	204711	203978
64	snpSB00368	205120	416	204704	203983
64	snpSB00327	205120	416	204704	203984
64	snpSB00387	205120	409	204711	203984
64	snpSB00332	205120	438	204682	203985
64	snpSB00372	205120	406	204714	203985
64	snpSB00318	205120	414	204706	203986
64	snpSB00371	205120	411	204709	203988
64	snpSB00314	205120	409	204711	203990
64	snpSB00362	205120	414	204706	203992
64	snpSB00335	205120	416	204704	203997
64	snpSB00109	205120	403	204717	203998
64	snpSB00325	205120	401	204719	203998
64	snpSB00315	205120	405	204715	204001
64	snpSB00370	205120	405	204715	204002
64	snpSB00338	205120	404	204716	204003
64	snpSB00347	205120	404	204716	204006
64	snpSB00341	205120	404	204716	204007
64	snpSB00389	205120	401	204719	204009
64	snpSB00326	205120	401	204719	204013
64	snpSB00328	205120	407	204713	204013
64	snpSB00357	205120	403	204717	204014
64	snpSB00319	205120	404	204716	204015
64	snpSB00312	205120	402	204718	204017
64	snpSB00345	205120	419	204701	204017
64	snpSB00305	205120	401	204719	204018
64	snpSB00363	205120	402	204718	204019
64	snpSB00146	205120	401	204719	204021
64	snpSB00284	205120	401	204719	204021
64	snpSB00384	205120	401	204719	204021
64	snpSB00317	205120	401	204719	204022
64	snpSB00144	205120	401	204719	204022
64	snpSB00330	205120	401	204719	204023
64	snpSB00358	205120	401	204719	204023
64	snpSB00376	205120	403	204717	204023
64	snpSB00294	205120	401	204719	204024
64	snpSB00148	205120	401	204719	204024
64	snpSB00169	205120	401	204719	204024
64	snpSB00352	205120	401	204719	204024
64	snpSB00343	205120	401	204719	204024
64	snpSB00346	205120	401	204719	204024
64	snpSB00351	205120	401	204719	204024
64	snpSB00360	205120	401	204719	204024
64	snpSB00354	205120	401	204719	204024
64	snpSB00383	205120	401	204719	204024
64	snpSB00379	205120	401	204719	204024
63	snpSB00158	205120	439	204681	203792
63	snpSB00324	205120	433	204687	203837
63	snpSB00369	205120	459	204661	203847
63	snpSB00364	205120	444	204676	203859
63	snpSB00388	205120	440	204680	203874
63	snpSB00106	205120	458	204662	203878
63	snpSB00323	205120	424	204696	203922
63	snpSB00321	205120	415	204705	203923
63	snpSB00313	205120	453	204667	203925
63	snpSB00164	205120	412	204708	203928
63	snpSB00143	205120	406	204714	203961
63	snpSB00348	205120	415	204705	203961
