marker_count	marker	total_combinations	zero_count	min_one_count	min_two_count
53	snpPG00075	17578	75	17503	17392
53	snpPG00067	17578	77	17501	17393
53	snpPG00050	17578	80	17498	17398
53	snpPG00068	17578	60	17518	17429
53	snpPG00098	17578	56	17522	17430
53	snpPG00049	17578	54	17524	17436
53	snpPG00071	17578	54	17524	17436
53	snpPG00088	17578	55	17523	17436
53	snpPG00093	17578	56	17522	17436
53	snpPG00062	17578	54	17524	17437
53	snpPG00078	17578	54	17524	17437
53	snpPG00092	17578	54	17524	17437
53	snpPG00048	17578	54	17524	17438
53	snpPG00053	17578	54	17524	17438
53	snpPG00059	17578	54	17524	17438
53	snpPG00063	17578	54	17524	17438
53	snpPG00076	17578	55	17523	17438
53	snpPG00074	17578	54	17524	17438
53	snpPG00082	17578	54	17524	17438
53	snpPG00086	17578	54	17524	17438
53	snpPG00095	17578	54	17524	17438
53	snpPG00047	17578	54	17524	17439
53	snpPG00054	17578	54	17524	17439
53	snpPG00051	17578	54	17524	17439
53	snpPG00052	17578	54	17524	17439
53	snpPG00056	17578	55	17523	17439
53	snpPG00055	17578	54	17524	17439
53	snpPG00058	17578	54	17524	17439
53	snpPG00057	17578	54	17524	17439
53	snpPG00061	17578	54	17524	17439
53	snpPG00060	17578	54	17524	17439
53	snpPG00065	17578	54	17524	17439
53	snpPG00064	17578	54	17524	17439
53	snpPG00066	17578	54	17524	17439
53	snpPG00070	17578	54	17524	17439
53	snpPG00069	17578	54	17524	17439
53	snpPG00072	17578	54	17524	17439
53	snpPG00073	17578	54	17524	17439
53	snpPG00077	17578	54	17524	17439
53	snpPG00083	17578	54	17524	17439
53	snpPG00079	17578	54	17524	17439
53	snpPG00081	17578	54	17524	17439
53	snpPG00084	17578	54	17524	17439
53	snpPG00080	17578	54	17524	17439
53	snpPG00085	17578	54	17524	17439
53	snpPG00089	17578	54	17524	17439
53	snpPG00087	17578	54	17524	17439
53	snpPG00090	17578	54	17524	17439
53	snpPG00091	17578	54	17524	17439
53	snpPG00094	17578	56	17522	17439
53	snpPG00096	17578	54	17524	17439
53	snpPG00097	17578	54	17524	17439
53	snpPG00099	17578	54	17524	17439
54	snpPG00075	17578	75	17503	17392
54	snpPG00067	17578	77	17501	17393
54	snpPG00050	17578	80	17498	17398
54	snpPG00068	17578	60	17518	17429
54	snpPG00098	17578	56	17522	17430
54	snpPG00049	17578	54	17524	17436
54	snpPG00071	17578	54	17524	17436
54	snpPG00088	17578	55	17523	17436
54	snpPG00093	17578	56	17522	17436
54	snpPG00062	17578	54	17524	17437
54	snpPG00078	17578	54	17524	17437
54	snpPG00092	17578	54	17524	17437
54	snpPG00048	17578	54	17524	17438
54	snpPG00053	17578	54	17524	17438
54	snpPG00059	17578	54	17524	17438
54	snpPG00063	17578	54	17524	17438
54	snpPG00076	17578	55	17523	17438
54	snpPG00074	17578	54	17524	17438
54	snpPG00082	17578	54	17524	17438
54	snpPG00086	17578	54	17524	17438
54	snpPG00095	17578	54	17524	17438
54	snpPG00046	17578	54	17524	17439
54	snpPG00047	17578	54	17524	17439
54	snpPG00051	17578	54	17524	17439
54	snpPG00054	17578	54	17524	17439
54	snpPG00052	17578	54	17524	17439
54	snpPG00055	17578	54	17524	17439
54	snpPG00058	17578	54	17524	17439
54	snpPG00056	17578	55	17523	17439
54	snpPG00057	17578	54	17524	17439
54	snpPG00060	17578	54	17524	17439
54	snpPG00061	17578	54	17524	17439
54	snpPG00064	17578	54	17524	17439
54	snpPG00065	17578	54	17524	17439
54	snpPG00066	17578	54	17524	17439
54	snpPG00069	17578	54	17524	17439
54	snpPG00070	17578	54	17524	17439
54	snpPG00072	17578	54	17524	17439
54	snpPG00073	17578	54	17524	17439
54	snpPG00077	17578	54	17524	17439
54	snpPG00079	17578	54	17524	17439
54	snpPG00080	17578	54	17524	17439
54	snpPG00081	17578	54	17524	17439
54	snpPG00083	17578	54	17524	17439
54	snpPG00084	17578	54	17524	17439
54	snpPG00085	17578	54	17524	17439
54	snpPG00087	17578	54	17524	17439
54	snpPG00089	17578	54	17524	17439
54	snpPG00090	17578	54	17524	17439
54	snpPG00094	17578	56	17522	17439
54	snpPG00091	17578	54	17524	17439
54	snpPG00096	17578	54	17524	17439
54	snpPG00097	17578	54	17524	17439
54	snpPG00099	17578	54	17524	17439
