marker_count	marker	total_combinations	zero_count	min_one_count	min_two_count
30	snpPG00127	7260	21	7239	7197
30	snpPG00142	7260	20	7240	7202
30	snpPG00140	7260	21	7239	7204
30	snpPG00048	7260	23	7237	7205
30	snpPG00137	7260	20	7240	7206
30	snpPG00112	7260	20	7240	7207
30	snpPG00133	7260	20	7240	7207
30	snpPG00100	7260	22	7238	7208
30	snpPG00110	7260	22	7238	7208
30	snpPG00101	7260	27	7233	7209
30	snpPG00121	7260	21	7239	7209
30	snpPG00129	7260	20	7240	7209
30	snpPG00078	7260	20	7240	7210
30	snpPG00107	7260	21	7239	7210
30	snpPG00117	7260	20	7240	7210
30	snpPG00122	7260	22	7238	7210
30	snpPG00118	7260	21	7239	7210
30	snpPG00051	7260	21	7239	7211
30	snpPG00076	7260	21	7239	7211
30	snpPG00084	7260	20	7240	7211
30	snpPG00111	7260	21	7239	7212
30	snpPG00119	7260	20	7240	7212
30	snpPG00126	7260	21	7239	7212
30	snpPG00135	7260	20	7240	7212
30	snpPG00055	7260	20	7240	7213
30	snpPG00087	7260	21	7239	7213
30	snpPG00092	7260	21	7239	7213
30	snpPG00143	7260	20	7240	7213
30	snpPG00136	7260	20	7240	7213
30	snpPG00134	7260	20	7240	7213
29	snpPG00127	7260	21	7239	7196
29	snpPG00142	7260	20	7240	7201
29	snpPG00140	7260	21	7239	7204
29	snpPG00048	7260	23	7237	7205
29	snpPG00137	7260	20	7240	7206
29	snpPG00100	7260	22	7238	7207
29	snpPG00110	7260	22	7238	7207
29	snpPG00112	7260	20	7240	7207
29	snpPG00133	7260	20	7240	7207
29	snpPG00101	7260	27	7233	7208
29	snpPG00076	7260	21	7239	7209
29	snpPG00121	7260	21	7239	7209
29	snpPG00129	7260	20	7240	7209
29	snpPG00078	7260	20	7240	7210
29	snpPG00117	7260	20	7240	7210
29	snpPG00107	7260	21	7239	7210
29	snpPG00118	7260	21	7239	7210
29	snpPG00122	7260	22	7238	7210
29	snpPG00135	7260	20	7240	7210
29	snpPG00051	7260	21	7239	7211
29	snpPG00084	7260	20	7240	7211
29	snpPG00111	7260	21	7239	7212
29	snpPG00087	7260	21	7239	7212
29	snpPG00119	7260	20	7240	7212
29	snpPG00126	7260	21	7239	7212
29	snpPG00055	7260	20	7240	7213
29	snpPG00092	7260	21	7239	7213
29	snpPG00143	7260	20	7240	7213
29	snpPG00136	7260	20	7240	7213
28	snpPG00127	7260	22	7238	7191
28	snpPG00142	7260	21	7239	7193
28	snpPG00140	7260	22	7238	7202
28	snpPG00133	7260	21	7239	7204
28	snpPG00048	7260	24	7236	7205
28	snpPG00121	7260	22	7238	7206
28	snpPG00137	7260	21	7239	7206
28	snpPG00100	7260	23	7237	7207
28	snpPG00110	7260	23	7237	7207
28	snpPG00112	7260	21	7239	7207
28	snpPG00101	7260	28	7232	7208
28	snpPG00135	7260	21	7239	7208
28	snpPG00126	7260	22	7238	7208
28	snpPG00076	7260	22	7238	7209
28	snpPG00107	7260	22	7238	7209
28	snpPG00129	7260	21	7239	7209
28	snpPG00078	7260	21	7239	7210
28	snpPG00117	7260	21	7239	7210
28	snpPG00118	7260	22	7238	7210
28	snpPG00122	7260	23	7237	7210
28	snpPG00051	7260	22	7238	7211
28	snpPG00084	7260	21	7239	7211
28	snpPG00087	7260	22	7238	7211
28	snpPG00119	7260	21	7239	7211
28	snpPG00111	7260	22	7238	7212
28	snpPG00055	7260	21	7239	7213
28	snpPG00136	7260	21	7239	7213
28	snpPG00143	7260	21	7239	7213
27	snpPG00142	7260	21	7239	7190
